步骤	当前栈	输入串	动作	状态栈	ACTION	GOTO	
18	...... type_specifier ID ( function_declaration_list )	{ if ( ID > ......	shift	I0 I11 I17 I41 I79 I121 I141	s141		
19	# function_definition	{ if ( ID > ......	reduce(function_definition->function type_specifier ID ( function_declaration_list ) ,['#'])	I0 I10	r52	I10	
20	# function_definition {	if ( ID > ID ......	shift	I0 I10 I15	s15		
21	# function_definition { if	( ID > ID ) ......	shift	I0 I10 I15 I23	s23		
22	# function_definition { if (	ID > ID ) return ......	shift	I0 I10 I15 I23 I53	s53		
23	...... function_definition { if ( ID	> ID ) return ID ......	shift	I0 I10 I15 I23 I53 I81	s81		
24	...... function_definition { if ( primary_expression	> ID ) return ID ......	reduce(primary_expression->ID ,['#'])	I0 I10 I15 I23 I53 I87	r4	I87	
25	...... { if ( primary_expression >	ID ) return ID ; ......	shift	I0 I10 I15 I23 I53 I87 I90	s90		
26	...... { if ( primary_expression operator	ID ) return ID ; ......	reduce(operator->> ,['#'])	I0 I10 I15 I23 I53 I87 I127	r13	I127	
27	...... if ( primary_expression operator ID	) return ID ; else ......	shift	I0 I10 I15 I23 I53 I87 I127 I81	s81		
28	...... if ( primary_expression operator primary_expression	) return ID ; else ......	reduce(primary_expression->ID ,['#'])	I0 I10 I15 I23 I53 I87 I127 I153	r4	I153	
29	...... ( primary_expression operator primary_expression arithmetic_expression	) return ID ; else ......	reduce(arithmetic_expression->$ ,['#'])	I0 I10 I15 I23 I53 I87 I127 I153 I185	r17	I185	
30	...... { if ( primary_expression arithmetic_expression	) return ID ; else ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I10 I15 I23 I53 I87 I126	r16	I126	
31	...... function_definition { if ( constant_expression	) return ID ; else ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I10 I15 I23 I53 I82	r18	I82	
32	...... function_definition { if ( expression	) return ID ; else ......	reduce(expression->constant_expression ,['#'])	I0 I10 I15 I23 I53 I102	r31	I102	
33	...... { if ( expression )	return ID ; else return ......	shift	I0 I10 I15 I23 I53 I102 I130	s130		
34	...... if ( expression ) return	ID ; else return ID ......	shift	I0 I10 I15 I23 I53 I102 I130 I170	s170		
35	...... ( expression ) return ID	; else return ID ; ......	shift	I0 I10 I15 I23 I53 I102 I130 I170 I70	s70		
36	...... ( expression ) return primary_expression	; else return ID ; ......	reduce(primary_expression->ID ,['#'])	I0 I10 I15 I23 I53 I102 I130 I170 I76	r4	I76	
37	...... expression ) return primary_expression arithmetic_expression	; else return ID ; ......	reduce(arithmetic_expression->$ ,['#'])	I0 I10 I15 I23 I53 I102 I130 I170 I76 I117	r17	I117	
38	...... ( expression ) return constant_expression	; else return ID ; ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I10 I15 I23 I53 I102 I130 I170 I71	r18	I71	
39	...... ( expression ) return expression	; else return ID ; ......	reduce(expression->constant_expression ,['#'])	I0 I10 I15 I23 I53 I102 I130 I170 I195	r31	I195	
40	...... expression ) return expression ;	else return ID ; } ......	shift	I0 I10 I15 I23 I53 I102 I130 I170 I195 I212	s212		
41	...... if ( expression ) jump_statement	else return ID ; } ......	reduce(jump_statement->return expression ; ,['#'])	I0 I10 I15 I23 I53 I102 I130 I169	r65	I169	
42	...... if ( expression ) statement	else return ID ; } ......	reduce(statement->jump_statement ,['#'])	I0 I10 I15 I23 I53 I102 I130 I166	r55	I166	
43	...... ( expression ) statement else	return ID ; } function ......	shift	I0 I10 I15 I23 I53 I102 I130 I166 I193	s193		
44	...... expression ) statement else return	ID ; } function int ......	shift	I0 I10 I15 I23 I53 I102 I130 I166 I193 I39	s39		
45	...... ) statement else return ID	; } function int ID ......	shift	I0 I10 I15 I23 I53 I102 I130 I166 I193 I39 I70	s70		
46	...... ) statement else return primary_expression	; } function int ID ......	reduce(primary_expression->ID ,['#'])	I0 I10 I15 I23 I53 I102 I130 I166 I193 I39 I76	r4	I76	
47	...... statement else return primary_expression arithmetic_expression	; } function int ID ......	reduce(arithmetic_expression->$ ,['#'])	I0 I10 I15 I23 I53 I102 I130 I166 I193 I39 I76 I117	r17	I117	
48	...... ) statement else return constant_expression	; } function int ID ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I10 I15 I23 I53 I102 I130 I166 I193 I39 I71	r18	I71	
49	...... ) statement else return expression	; } function int ID ......	reduce(expression->constant_expression ,['#'])	I0 I10 I15 I23 I53 I102 I130 I166 I193 I39 I72	r31	I72	
50	...... statement else return expression ;	} function int ID ( ......	shift	I0 I10 I15 I23 I53 I102 I130 I166 I193 I39 I72 I114	s114		
51	...... expression ) statement else jump_statement	} function int ID ( ......	reduce(jump_statement->return expression ; ,['#'])	I0 I10 I15 I23 I53 I102 I130 I166 I193 I37	r65	I37	
52	...... expression ) statement else statement	} function int ID ( ......	reduce(statement->jump_statement ,['#'])	I0 I10 I15 I23 I53 I102 I130 I166 I193 I210	r55	I210	
53	# function_definition { selection_statement	} function int ID ( ......	reduce(selection_statement->if ( expression ) statement else statement ,['#'])	I0 I10 I15 I36	r66	I36	
54	# function_definition { statement	} function int ID ( ......	reduce(statement->selection_statement ,['#'])	I0 I10 I15 I40	r56	I40	
55	# function_definition { statement statement_list	} function int ID ( ......	reduce(statement_list->$ ,['#'])	I0 I10 I15 I40 I78	r61	I78	
56	# function_definition { statement_list	} function int ID ( ......	reduce(statement_list->statement statement_list ,['#'])	I0 I10 I15 I35	r60	I35	
57	# function_definition { statement_list }	function int ID ( int ......	shift	I0 I10 I15 I35 I67	s67		
58	# function_definition compound_statement	function int ID ( int ......	reduce(compound_statement->{ statement_list } ,['#'])	I0 I10 I16	r69	I16	
59	# function_implement	function int ID ( int ......	reduce(function_implement->function_definition compound_statement ,['#'])	I0 I3	r53	I3	
60	# external_declaration	function int ID ( int ......	reduce(external_declaration->function_implement ,['#'])	I0 I2	r70	I2	
61	# external_declaration function	int ID ( int ID ......	shift	I0 I2 I11	s11		
62	# external_declaration function int	ID ( int ID , ......	shift	I0 I2 I11 I8	s8		
63	# external_declaration function type_specifier	ID ( int ID , ......	reduce(type_specifier->int ,['#'])	I0 I2 I11 I17	r39	I17	
64	# external_declaration function type_specifier ID	( int ID , int ......	shift	I0 I2 I11 I17 I41	s41		
65	...... external_declaration function type_specifier ID (	int ID , int ID ......	shift	I0 I2 I11 I17 I41 I79	s79		
66	...... function type_specifier ID ( int	ID , int ID ) ......	shift	I0 I2 I11 I17 I41 I79 I8	s8		
67	...... function type_specifier ID ( type_specifier	ID , int ID ) ......	reduce(type_specifier->int ,['#'])	I0 I2 I11 I17 I41 I79 I119	r39	I119	
68	...... type_specifier ID ( type_specifier ID	, int ID ) { ......	shift	I0 I2 I11 I17 I41 I79 I119 I138	s138		
69	...... function type_specifier ID ( function_declaration	, int ID ) { ......	reduce(function_declaration->type_specifier ID ,['#'])	I0 I2 I11 I17 I41 I79 I120	r47	I120	
70	...... type_specifier ID ( function_declaration ,	int ID ) { if ......	shift	I0 I2 I11 I17 I41 I79 I120 I139	s139		
71	...... ID ( function_declaration , int	ID ) { if ( ......	shift	I0 I2 I11 I17 I41 I79 I120 I139 I8	s8		
72	...... ID ( function_declaration , type_specifier	ID ) { if ( ......	reduce(type_specifier->int ,['#'])	I0 I2 I11 I17 I41 I79 I120 I139 I119	r39	I119	
73	...... ( function_declaration , type_specifier ID	) { if ( ID ......	shift	I0 I2 I11 I17 I41 I79 I120 I139 I119 I138	s138		
74	...... ID ( function_declaration , function_declaration	) { if ( ID ......	reduce(function_declaration->type_specifier ID ,['#'])	I0 I2 I11 I17 I41 I79 I120 I139 I176	r47	I176	
75	...... ( function_declaration , function_declaration function_declaration_suffix	) { if ( ID ......	reduce(function_declaration_suffix->$ ,['#'])	I0 I2 I11 I17 I41 I79 I120 I139 I176 I200	r49	I200	
76	...... type_specifier ID ( function_declaration function_declaration_suffix	) { if ( ID ......	reduce(function_declaration_suffix->, function_declaration function_declaration_suffix ,['#'])	I0 I2 I11 I17 I41 I79 I120 I140	r48	I140	
77	...... function type_specifier ID ( function_declaration_list	) { if ( ID ......	reduce(function_declaration_list->function_declaration function_declaration_suffix ,['#'])	I0 I2 I11 I17 I41 I79 I121	r50	I121	
78	...... type_specifier ID ( function_declaration_list )	{ if ( ID < ......	shift	I0 I2 I11 I17 I41 I79 I121 I141	s141		
79	# external_declaration function_definition	{ if ( ID < ......	reduce(function_definition->function type_specifier ID ( function_declaration_list ) ,['#'])	I0 I2 I10	r52	I10	
80	# external_declaration function_definition {	if ( ID < ID ......	shift	I0 I2 I10 I15	s15		
81	# external_declaration function_definition { if	( ID < ID ) ......	shift	I0 I2 I10 I15 I23	s23		
82	...... external_declaration function_definition { if (	ID < ID ) return ......	shift	I0 I2 I10 I15 I23 I53	s53		
83	...... function_definition { if ( ID	< ID ) return ID ......	shift	I0 I2 I10 I15 I23 I53 I81	s81		
84	...... function_definition { if ( primary_expression	< ID ) return ID ......	reduce(primary_expression->ID ,['#'])	I0 I2 I10 I15 I23 I53 I87	r4	I87	
85	...... { if ( primary_expression <	ID ) return ID ; ......	shift	I0 I2 I10 I15 I23 I53 I87 I98	s98		
86	...... { if ( primary_expression operator	ID ) return ID ; ......	reduce(operator->< ,['#'])	I0 I2 I10 I15 I23 I53 I87 I127	r12	I127	
87	...... if ( primary_expression operator ID	) return ID ; else ......	shift	I0 I2 I10 I15 I23 I53 I87 I127 I81	s81		
88	...... if ( primary_expression operator primary_expression	) return ID ; else ......	reduce(primary_expression->ID ,['#'])	I0 I2 I10 I15 I23 I53 I87 I127 I153	r4	I153	
89	...... ( primary_expression operator primary_expression arithmetic_expression	) return ID ; else ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I10 I15 I23 I53 I87 I127 I153 I185	r17	I185	
90	...... { if ( primary_expression arithmetic_expression	) return ID ; else ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I10 I15 I23 I53 I87 I126	r16	I126	
91	...... function_definition { if ( constant_expression	) return ID ; else ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I10 I15 I23 I53 I82	r18	I82	
92	...... function_definition { if ( expression	) return ID ; else ......	reduce(expression->constant_expression ,['#'])	I0 I2 I10 I15 I23 I53 I102	r31	I102	
93	...... { if ( expression )	return ID ; else return ......	shift	I0 I2 I10 I15 I23 I53 I102 I130	s130		
94	...... if ( expression ) return	ID ; else return ID ......	shift	I0 I2 I10 I15 I23 I53 I102 I130 I170	s170		
95	...... ( expression ) return ID	; else return ID ; ......	shift	I0 I2 I10 I15 I23 I53 I102 I130 I170 I70	s70		
96	...... ( expression ) return primary_expression	; else return ID ; ......	reduce(primary_expression->ID ,['#'])	I0 I2 I10 I15 I23 I53 I102 I130 I170 I76	r4	I76	
97	...... expression ) return primary_expression arithmetic_expression	; else return ID ; ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I10 I15 I23 I53 I102 I130 I170 I76 I117	r17	I117	
98	...... ( expression ) return constant_expression	; else return ID ; ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I10 I15 I23 I53 I102 I130 I170 I71	r18	I71	
99	...... ( expression ) return expression	; else return ID ; ......	reduce(expression->constant_expression ,['#'])	I0 I2 I10 I15 I23 I53 I102 I130 I170 I195	r31	I195	
100	...... expression ) return expression ;	else return ID ; } ......	shift	I0 I2 I10 I15 I23 I53 I102 I130 I170 I195 I212	s212		
101	...... if ( expression ) jump_statement	else return ID ; } ......	reduce(jump_statement->return expression ; ,['#'])	I0 I2 I10 I15 I23 I53 I102 I130 I169	r65	I169	
102	...... if ( expression ) statement	else return ID ; } ......	reduce(statement->jump_statement ,['#'])	I0 I2 I10 I15 I23 I53 I102 I130 I166	r55	I166	
103	...... ( expression ) statement else	return ID ; } function ......	shift	I0 I2 I10 I15 I23 I53 I102 I130 I166 I193	s193		
104	...... expression ) statement else return	ID ; } function int ......	shift	I0 I2 I10 I15 I23 I53 I102 I130 I166 I193 I39	s39		
105	...... ) statement else return ID	; } function int ID ......	shift	I0 I2 I10 I15 I23 I53 I102 I130 I166 I193 I39 I70	s70		
106	...... ) statement else return primary_expression	; } function int ID ......	reduce(primary_expression->ID ,['#'])	I0 I2 I10 I15 I23 I53 I102 I130 I166 I193 I39 I76	r4	I76	
107	...... statement else return primary_expression arithmetic_expression	; } function int ID ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I10 I15 I23 I53 I102 I130 I166 I193 I39 I76 I117	r17	I117	
108	...... ) statement else return constant_expression	; } function int ID ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I10 I15 I23 I53 I102 I130 I166 I193 I39 I71	r18	I71	
109	...... ) statement else return expression	; } function int ID ......	reduce(expression->constant_expression ,['#'])	I0 I2 I10 I15 I23 I53 I102 I130 I166 I193 I39 I72	r31	I72	
110	...... statement else return expression ;	} function int ID ( ......	shift	I0 I2 I10 I15 I23 I53 I102 I130 I166 I193 I39 I72 I114	s114		
111	...... expression ) statement else jump_statement	} function int ID ( ......	reduce(jump_statement->return expression ; ,['#'])	I0 I2 I10 I15 I23 I53 I102 I130 I166 I193 I37	r65	I37	
112	...... expression ) statement else statement	} function int ID ( ......	reduce(statement->jump_statement ,['#'])	I0 I2 I10 I15 I23 I53 I102 I130 I166 I193 I210	r55	I210	
113	# external_declaration function_definition { selection_statement	} function int ID ( ......	reduce(selection_statement->if ( expression ) statement else statement ,['#'])	I0 I2 I10 I15 I36	r66	I36	
114	# external_declaration function_definition { statement	} function int ID ( ......	reduce(statement->selection_statement ,['#'])	I0 I2 I10 I15 I40	r56	I40	
115	...... external_declaration function_definition { statement statement_list	} function int ID ( ......	reduce(statement_list->$ ,['#'])	I0 I2 I10 I15 I40 I78	r61	I78	
116	# external_declaration function_definition { statement_list	} function int ID ( ......	reduce(statement_list->statement statement_list ,['#'])	I0 I2 I10 I15 I35	r60	I35	
117	...... external_declaration function_definition { statement_list }	function int ID ( int ......	shift	I0 I2 I10 I15 I35 I67	s67		
118	# external_declaration function_definition compound_statement	function int ID ( int ......	reduce(compound_statement->{ statement_list } ,['#'])	I0 I2 I10 I16	r69	I16	
119	# external_declaration function_implement	function int ID ( int ......	reduce(function_implement->function_definition compound_statement ,['#'])	I0 I2 I3	r53	I3	
120	# external_declaration external_declaration	function int ID ( int ......	reduce(external_declaration->function_implement ,['#'])	I0 I2 I2	r70	I2	
121	# external_declaration external_declaration function	int ID ( int ID ......	shift	I0 I2 I2 I11	s11		
122	# external_declaration external_declaration function int	ID ( int ID ) ......	shift	I0 I2 I2 I11 I8	s8		
123	# external_declaration external_declaration function type_specifier	ID ( int ID ) ......	reduce(type_specifier->int ,['#'])	I0 I2 I2 I11 I17	r39	I17	
124	...... external_declaration external_declaration function type_specifier ID	( int ID ) { ......	shift	I0 I2 I2 I11 I17 I41	s41		
125	...... external_declaration function type_specifier ID (	int ID ) { if ......	shift	I0 I2 I2 I11 I17 I41 I79	s79		
126	...... function type_specifier ID ( int	ID ) { if ( ......	shift	I0 I2 I2 I11 I17 I41 I79 I8	s8		
127	...... function type_specifier ID ( type_specifier	ID ) { if ( ......	reduce(type_specifier->int ,['#'])	I0 I2 I2 I11 I17 I41 I79 I119	r39	I119	
128	...... type_specifier ID ( type_specifier ID	) { if ( ID ......	shift	I0 I2 I2 I11 I17 I41 I79 I119 I138	s138		
129	...... function type_specifier ID ( function_declaration	) { if ( ID ......	reduce(function_declaration->type_specifier ID ,['#'])	I0 I2 I2 I11 I17 I41 I79 I120	r47	I120	
130	...... type_specifier ID ( function_declaration function_declaration_suffix	) { if ( ID ......	reduce(function_declaration_suffix->$ ,['#'])	I0 I2 I2 I11 I17 I41 I79 I120 I140	r49	I140	
131	...... function type_specifier ID ( function_declaration_list	) { if ( ID ......	reduce(function_declaration_list->function_declaration function_declaration_suffix ,['#'])	I0 I2 I2 I11 I17 I41 I79 I121	r50	I121	
132	...... type_specifier ID ( function_declaration_list )	{ if ( ID < ......	shift	I0 I2 I2 I11 I17 I41 I79 I121 I141	s141		
133	# external_declaration external_declaration function_definition	{ if ( ID < ......	reduce(function_definition->function type_specifier ID ( function_declaration_list ) ,['#'])	I0 I2 I2 I10	r52	I10	
134	# external_declaration external_declaration function_definition {	if ( ID < number ......	shift	I0 I2 I2 I10 I15	s15		
135	...... external_declaration external_declaration function_definition { if	( ID < number ) ......	shift	I0 I2 I2 I10 I15 I23	s23		
136	...... external_declaration function_definition { if (	ID < number ) return ......	shift	I0 I2 I2 I10 I15 I23 I53	s53		
137	...... function_definition { if ( ID	< number ) return number ......	shift	I0 I2 I2 I10 I15 I23 I53 I81	s81		
138	...... function_definition { if ( primary_expression	< number ) return number ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I10 I15 I23 I53 I87	r4	I87	
139	...... { if ( primary_expression <	number ) return number ; ......	shift	I0 I2 I2 I10 I15 I23 I53 I87 I98	s98		
140	...... { if ( primary_expression operator	number ) return number ; ......	reduce(operator->< ,['#'])	I0 I2 I2 I10 I15 I23 I53 I87 I127	r12	I127	
141	...... if ( primary_expression operator number	) return number ; else ......	shift	I0 I2 I2 I10 I15 I23 I53 I87 I127 I88	s88		
142	...... if ( primary_expression operator primary_expression	) return number ; else ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I10 I15 I23 I53 I87 I127 I153	r5	I153	
143	...... ( primary_expression operator primary_expression arithmetic_expression	) return number ; else ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I10 I15 I23 I53 I87 I127 I153 I185	r17	I185	
144	...... { if ( primary_expression arithmetic_expression	) return number ; else ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I87 I126	r16	I126	
145	...... function_definition { if ( constant_expression	) return number ; else ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I82	r18	I82	
146	...... function_definition { if ( expression	) return number ; else ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102	r31	I102	
147	...... { if ( expression )	return number ; else { ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130	s130		
148	...... if ( expression ) return	number ; else { int ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I170	s170		
149	...... ( expression ) return number	; else { int ID ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I170 I77	s77		
150	...... ( expression ) return primary_expression	; else { int ID ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I170 I76	r5	I76	
151	...... expression ) return primary_expression arithmetic_expression	; else { int ID ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I170 I76 I117	r17	I117	
152	...... ( expression ) return constant_expression	; else { int ID ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I170 I71	r18	I71	
153	...... ( expression ) return expression	; else { int ID ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I170 I195	r31	I195	
154	...... expression ) return expression ;	else { int ID = ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I170 I195 I212	s212		
155	...... if ( expression ) jump_statement	else { int ID = ......	reduce(jump_statement->return expression ; ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I169	r65	I169	
156	...... if ( expression ) statement	else { int ID = ......	reduce(statement->jump_statement ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166	r55	I166	
157	...... ( expression ) statement else	{ int ID = function ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193	s193		
158	...... expression ) statement else {	int ID = function ID ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28	s28		
159	...... ) statement else { int	ID = function ID ( ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I8	s8		
160	...... ) statement else { type_specifier	ID = function ID ( ......	reduce(type_specifier->int ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22	r39	I22	
161	...... statement else { type_specifier ID	= function ID ( ID ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13	s13		
162	...... else { type_specifier ID =	function ID ( ID - ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18	s18		
163	...... { type_specifier ID = function	ID ( ID - number ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45	s45		
164	...... type_specifier ID = function ID	( ID - number ) ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80	s80		
165	...... ID = function ID (	ID - number ) ; ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122	s122		
166	...... = function ID ( ID	- number ) ; int ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I142	s142		
167	...... = function ID ( primary_expression	- number ) ; int ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I148	r4	I148	
168	...... function ID ( primary_expression -	number ) ; int ID ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I148 I91	s91		
169	...... function ID ( primary_expression operator	number ) ; int ID ......	reduce(operator->- ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I148 I181	r8	I181	
170	...... ID ( primary_expression operator number	) ; int ID = ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I148 I181 I149	s149		
171	...... ID ( primary_expression operator primary_expression	) ; int ID = ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I148 I181 I203	r5	I203	
172	...... ( primary_expression operator primary_expression arithmetic_expression	) ; int ID = ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I148 I181 I203 I216	r17	I216	
173	...... function ID ( primary_expression arithmetic_expression	) ; int ID = ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I148 I180	r16	I180	
174	...... = function ID ( constant_expression	) ; int ID = ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I143	r18	I143	
175	...... = function ID ( expression	) ; int ID = ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I150	r31	I150	
176	...... function ID ( expression expression_profix	) ; int ID = ......	reduce(expression_profix->$ ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I150 I182	r34	I182	
177	...... = function ID ( expression_list	) ; int ID = ......	reduce(expression_list->expression expression_profix ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I145	r35	I145	
178	...... function ID ( expression_list )	; int ID = ID ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I45 I80 I122 I145 I178	s178		
179	...... { type_specifier ID = function_expression	; int ID = ID ......	reduce(function_expression->function ID ( expression_list ) ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I44	r30	I44	
180	...... { type_specifier ID = expression	; int ID = ID ......	reduce(expression->function_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I18 I48	r32	I48	
181	...... else { type_specifier ID declaration_assign	; int ID = ID ......	reduce(declaration_assign->= expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I13 I19	r41	I19	
182	...... statement else { type_specifier declaration_init	; int ID = ID ......	reduce(declaration_init->ID declaration_assign ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I52	r43	I52	
183	...... else { type_specifier declaration_init declaration_init_list	; int ID = ID ......	reduce(declaration_init_list->$ ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I52 I101	r45	I101	
184	...... { type_specifier declaration_init declaration_init_list ;	int ID = ID * ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I22 I52 I101 I129	s129		
185	...... ) statement else { declaration	int ID = ID * ......	reduce(declaration->type_specifier declaration_init declaration_init_list ; ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I32	r46	I32	
186	...... ) statement else { statement	int ID = ID * ......	reduce(statement->declaration ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40	r59	I40	
